302:	learn: 0.7054609	total: 4.14s	remaining: 23.2s
303:	learn: 0.7051195	total: 4.15s	remaining: 23.2s
304:	learn: 0.7047891	total: 4.16s	remaining: 23.1s
305:	learn: 0.7044853	total: 4.18s	remaining: 23.1s
306:	learn: 0.7042487	total: 4.19s	remaining: 23.1s
307:	learn: 0.7038951	total: 4.2s	remaining: 23.1s
308:	learn: 0.7034458	total: 4.21s	remaining: 23.1s
309:	learn: 0.7031437	total: 4.23s	remaining: 23s
310:	learn: 0.7029039	total: 4.24s	remaining: 23s
311:	learn: 0.7026065	total: 4.25s	remaining: 23s
312:	learn: 0.7022596	total: 4.27s	remaining: 23s
313:	learn: 0.7019992	total: 4.28s	remaining: 23s
314:	learn: 0.7017176	total: 4.29s	remaining: 23s
315:	learn: 0.7013649	total: 4.31s	remaining: 23s
316:	learn: 0.7009150	total: 4.32s	remaining: 22.9s
317:	learn: 0.7005463	total: 4.33s	remaining: 22.9s
318:	learn: 0.7001034	total: 4.35s	remaining: 22.9s
319:	learn: 0.6997516	total: 4.36s	remaining: 22.9s
320:	learn: 0.6993965	total: 4.38s	remaining: 22.9s
321:	learn: 0.6991074	total: 4.39s	remaining: 22.9s
322:	learn: 0.6988812	total: 4.4s	remaining: 22.9s
323:	learn: 0.6986230	total: 4.42s	remaining: 22.9s
324:	learn: 0.6983939	total: 4.43s	remaining: 22.8s
325:	learn: 0.6981333	total: 4.44s	remaining: 22.8s
326:	learn: 0.6979099	total: 4.46s	remaining: 22.8s
327:	learn: 0.6976327	total: 4.47s	remaining: 22.8s
328:	learn: 0.6973317	total: 4.48s	remaining: 22.8s
329:	learn: 0.6970933	total: 4.5s	remaining: 22.8s
330:	learn: 0.6968808	total: 4.51s	remaining: 22.7s
331:	learn: 0.6964303	total: 4.52s	remaining: 22.7s
332:	learn: 0.6960810	total: 4.53s	remaining: 22.7s
333:	learn: 0.6958604	total: 4.54s	remaining: 22.7s
334:	learn: 0.6955838	total: 4.56s	remaining: 22.7s
335:	learn: 0.6953109	total: 4.57s	remaining: 22.6s
336:	learn: 0.6950246	total: 4.58s	remaining: 22.6s
337:	learn: 0.6947486	total: 4.6s	remaining: 22.6s
338:	learn: 0.6944755	total: 4.61s	remaining: 22.6s
339:	learn: 0.6942541	total: 4.62s	remaining: 22.6s
340:	learn: 0.6938964	total: 4.63s	remaining: 22.5s
341:	learn: 0.6934805	total: 4.65s	remaining: 22.5s
342:	learn: 0.6932658	total: 4.66s	remaining: 22.5s
343:	learn: 0.6930348	total: 4.67s	remaining: 22.5s
344:	learn: 0.6927444	total: 4.68s	remaining: 22.5s
345:	learn: 0.6925141	total: 4.69s	remaining: 22.4s
346:	learn: 0.6922826	total: 4.71s	remaining: 22.4s
347:	learn: 0.6920294	total: 4.72s	remaining: 22.4s
348:	learn: 0.6918064	total: 4.73s	remaining: 22.4s
349:	learn: 0.6915052	total: 4.75s	remaining: 22.4s
350:	learn: 0.6912181	total: 4.76s	remaining: 22.4s
351:	learn: 0.6909009	total: 4.77s	remaining: 22.3s
352:	learn: 0.6906297	total: 4.79s	remaining: 22.3s
353:	learn: 0.6903934	total: 4.8s	remaining: 22.3s
354:	learn: 0.6901887	total: 4.81s	remaining: 22.3s
355:	learn: 0.6898689	total: 4.83s	remaining: 22.3s
356:	learn: 0.6896240	total: 4.84s	remaining: 22.3s
357:	learn: 0.6894311	total: 4.85s	remaining: 22.2s
358:	learn: 0.6891926	total: 4.86s	remaining: 22.2s
359:	learn: 0.6889616	total: 4.88s	remaining: 22.2s
360:	learn: 0.6886570	total: 4.89s	remaining: 22.2s
361:	learn: 0.6883931	total: 4.9s	remaining: 22.2s
362:	learn: 0.6881019	total: 4.91s	remaining: 22.2s
363:	learn: 0.6878674	total: 4.93s	remaining: 22.1s
364:	learn: 0.6876624	total: 4.94s	remaining: 22.1s
365:	learn: 0.6874973	total: 4.95s	remaining: 22.1s
366:	learn: 0.6871857	total: 4.97s	remaining: 22.1s
367:	learn: 0.6869931	total: 4.98s	remaining: 22.1s
368:	learn: 0.6867632	total: 4.99s	remaining: 22.1s
369:	learn: 0.6865661	total: 5s	remaining: 22s
370:	learn: 0.6862473	total: 5.02s	remaining: 22s
371:	learn: 0.6860179	total: 5.03s	remaining: 22s
372:	learn: 0.6857821	total: 5.04s	remaining: 22s
373:	learn: 0.6856157	total: 5.05s	remaining: 22s
374:	learn: 0.6854287	total: 5.07s	remaining: 22s
375:	learn: 0.6852480	total: 5.08s	remaining: 21.9s
376:	learn: 0.6850489	total: 5.09s	remaining: 21.9s
377:	learn: 0.6848620	total: 5.11s	remaining: 21.9s
378:	learn: 0.6846185	total: 5.12s	remaining: 21.9s
379:	learn: 0.6844052	total: 5.14s	remaining: 21.9s
380:	learn: 0.6842082	total: 5.15s	remaining: 21.9s
381:	learn: 0.6838393	total: 5.17s	remaining: 21.9s
382:	learn: 0.6836707	total: 5.18s	remaining: 21.9s
383:	learn: 0.6834172	total: 5.19s	remaining: 21.8s
384:	learn: 0.6832218	total: 5.2s	remaining: 21.8s
385:	learn: 0.6829349	total: 5.22s	remaining: 21.8s
386:	learn: 0.6826071	total: 5.23s	remaining: 21.8s
387:	learn: 0.6823851	total: 5.25s	remaining: 21.8s
388:	learn: 0.6820079	total: 5.26s	remaining: 21.8s
389:	learn: 0.6818311	total: 5.27s	remaining: 21.8s
390:	learn: 0.6813741	total: 5.28s	remaining: 21.7s
391:	learn: 0.6811364	total: 5.3s	remaining: 21.7s
392:	learn: 0.6808057	total: 5.31s	remaining: 21.7s
393:	learn: 0.6805182	total: 5.33s	remaining: 21.7s
394:	learn: 0.6802986	total: 5.34s	remaining: 21.7s
395:	learn: 0.6801162	total: 5.35s	remaining: 21.7s
396:	learn: 0.6799385	total: 5.37s	remaining: 21.7s
397:	learn: 0.6797379	total: 5.38s	remaining: 21.7s
398:	learn: 0.6795514	total: 5.39s	remaining: 21.6s
399:	learn: 0.6793445	total: 5.41s	remaining: 21.6s
400:	learn: 0.6790269	total: 5.42s	remaining: 21.6s
401:	learn: 0.6787742	total: 5.43s	remaining: 21.6s
402:	learn: 0.6785910	total: 5.45s	remaining: 21.6s
403:	learn: 0.6783864	total: 5.46s	remaining: 21.6s
404:	learn: 0.6781737	total: 5.47s	remaining: 21.6s
405:	learn: 0.6779885	total: 5.49s	remaining: 21.5s
406:	learn: 0.6777875	total: 5.5s	remaining: 21.5s
407:	learn: 0.6776540	total: 5.51s	remaining: 21.5s
408:	learn: 0.6774397	total: 5.53s	remaining: 21.5s
409:	learn: 0.6770794	total: 5.54s	remaining: 21.5s
410:	learn: 0.6768949	total: 5.55s	remaining: 21.5s
411:	learn: 0.6766329	total: 5.56s	remaining: 21.4s
412:	learn: 0.6764315	total: 5.58s	remaining: 21.4s
413:	learn: 0.6761398	total: 5.59s	remaining: 21.4s
414:	learn: 0.6759311	total: 5.6s	remaining: 21.4s
415:	learn: 0.6757581	total: 5.61s	remaining: 21.4s
416:	learn: 0.6754270	total: 5.63s	remaining: 21.4s
417:	learn: 0.6752793	total: 5.64s	remaining: 21.3s
418:	learn: 0.6750958	total: 5.65s	remaining: 21.3s
419:	learn: 0.6748758	total: 5.66s	remaining: 21.3s
420:	learn: 0.6747108	total: 5.67s	remaining: 21.3s
421:	learn: 0.6745340	total: 5.69s	remaining: 21.3s
422:	learn: 0.6743278	total: 5.7s	remaining: 21.2s
423:	learn: 0.6741189	total: 5.71s	remaining: 21.2s
424:	learn: 0.6739079	total: 5.72s	remaining: 21.2s
425:	learn: 0.6737032	total: 5.74s	remaining: 21.2s
426:	learn: 0.6735513	total: 5.75s	remaining: 21.2s
427:	learn: 0.6731981	total: 5.76s	remaining: 21.2s
428:	learn: 0.6729821	total: 5.78s	remaining: 21.2s
429:	learn: 0.6728435	total: 5.79s	remaining: 21.1s
430:	learn: 0.6726129	total: 5.8s	remaining: 21.1s
431:	learn: 0.6724570	total: 5.81s	remaining: 21.1s
432:	learn: 0.6722537	total: 5.83s	remaining: 21.1s
433:	learn: 0.6721143	total: 5.84s	remaining: 21.1s
434:	learn: 0.6719386	total: 5.85s	remaining: 21.1s
435:	learn: 0.6717703	total: 5.86s	remaining: 21s
436:	learn: 0.6716328	total: 5.88s	remaining: 21s
437:	learn: 0.6714531	total: 5.89s	remaining: 21s
438:	learn: 0.6712670	total: 5.9s	remaining: 21s
439:	learn: 0.6711252	total: 5.91s	remaining: 21s
440:	learn: 0.6709432	total: 5.92s	remaining: 20.9s
441:	learn: 0.6706193	total: 5.94s	remaining: 20.9s
442:	learn: 0.6703587	total: 5.95s	remaining: 20.9s
