409:	learn: 0.5122676	total: 6.42s	remaining: 24.9s
410:	learn: 0.5121310	total: 6.44s	remaining: 24.9s
411:	learn: 0.5119420	total: 6.45s	remaining: 24.9s
412:	learn: 0.5118237	total: 6.47s	remaining: 24.8s
413:	learn: 0.5117115	total: 6.48s	remaining: 24.8s
414:	learn: 0.5116144	total: 6.49s	remaining: 24.8s
415:	learn: 0.5111453	total: 6.51s	remaining: 24.8s
416:	learn: 0.5110187	total: 6.52s	remaining: 24.8s
417:	learn: 0.5108251	total: 6.53s	remaining: 24.7s
418:	learn: 0.5105860	total: 6.55s	remaining: 24.7s
419:	learn: 0.5104012	total: 6.56s	remaining: 24.7s
420:	learn: 0.5102187	total: 6.58s	remaining: 24.7s
421:	learn: 0.5100204	total: 6.59s	remaining: 24.6s
422:	learn: 0.5098938	total: 6.61s	remaining: 24.6s
423:	learn: 0.5097146	total: 6.62s	remaining: 24.6s
424:	learn: 0.5095928	total: 6.64s	remaining: 24.6s
425:	learn: 0.5094285	total: 6.66s	remaining: 24.6s
426:	learn: 0.5092200	total: 6.68s	remaining: 24.6s
427:	learn: 0.5090033	total: 6.7s	remaining: 24.6s
428:	learn: 0.5089932	total: 6.71s	remaining: 24.6s
429:	learn: 0.5088494	total: 6.73s	remaining: 24.6s
430:	learn: 0.5088397	total: 6.75s	remaining: 24.6s
431:	learn: 0.5087140	total: 6.77s	remaining: 24.6s
432:	learn: 0.5085317	total: 6.78s	remaining: 24.6s
433:	learn: 0.5083860	total: 6.8s	remaining: 24.5s
434:	learn: 0.5082365	total: 6.82s	remaining: 24.5s
435:	learn: 0.5080856	total: 6.83s	remaining: 24.5s
436:	learn: 0.5077051	total: 6.85s	remaining: 24.5s
437:	learn: 0.5074352	total: 6.86s	remaining: 24.5s
438:	learn: 0.5073143	total: 6.88s	remaining: 24.5s
439:	learn: 0.5072380	total: 6.9s	remaining: 24.4s
440:	learn: 0.5070943	total: 6.91s	remaining: 24.4s
441:	learn: 0.5069841	total: 6.93s	remaining: 24.4s
442:	learn: 0.5066406	total: 6.94s	remaining: 24.4s
443:	learn: 0.5064808	total: 6.96s	remaining: 24.4s
444:	learn: 0.5062384	total: 6.97s	remaining: 24.4s
445:	learn: 0.5060652	total: 6.99s	remaining: 24.3s
446:	learn: 0.5055421	total: 7.01s	remaining: 24.3s
447:	learn: 0.5054240	total: 7.02s	remaining: 24.3s
448:	learn: 0.5053098	total: 7.04s	remaining: 24.3s
449:	learn: 0.5049990	total: 7.05s	remaining: 24.3s
450:	learn: 0.5048008	total: 7.07s	remaining: 24.3s
451:	learn: 0.5045982	total: 7.08s	remaining: 24.3s
452:	learn: 0.5044402	total: 7.09s	remaining: 24.2s
453:	learn: 0.5041105	total: 7.11s	remaining: 24.2s
454:	learn: 0.5039722	total: 7.12s	remaining: 24.2s
455:	learn: 0.5037794	total: 7.14s	remaining: 24.2s
